
Price,Bed_number,Bath_number,Square_foot,Info4,Description,Content,Name
"$4,150 per month",2 Beds,2.5 Baths,"1,680 Sq Ft",Townhouse for Rent,"Come see this beautiful 3-bedroom, 2.5-bathroom townhouse. This space offers the perfect combination of comfort, style, and convenience. With a bright and open floor plan, it is designed to impress. Hardwood floors flow throughout, giving the space a seamless, modern look, while ample natural light creates a warm and inviting atmosphere. A true gem, this property includes off-street parking with","107 Myrtle St, Medford, MA 02155",
"$2,950 per month",2 Beds,2 Baths,"1,193 Sq Ft",Condo for Rent,"Commuters Dream Location! Bright & Sunny, this South facing 2 Bed, 2 Bath at the desirable Wellington Condo complex in Trendy Wellington Circle features beautiful hardwood floors, smooth ceilings & painted a contemporary gray. Split & Open Open floor plan w/one bed/bath on one side; the other bed/bath on other side. Great for privacy! Large balcony, basement storage, Huge In-­Unit Washer & Dryer,","22 9th St Unit 705, Medford, MA 02155",
"$3,200 per month",3 Beds,1 Bath,"1,314 Sq Ft",Condo for Rent,"DELEADED- Ready for immediate occupancy! Unbeatable location only 10 minute walk to Ball Square MBTA and restaurants! Newly renovated unit with NEW KITCHEN, NEW BATHROOM, new floors and freshly painted walls. High ceilings throughout and sun-lit bedrooms. The unit features a larger bedroom with a spacious walk-in closet, a second and third bedroom as well as a spacious living room connecting to","428 Main St Unit 1, Medford, MA 02155",
"$7,000 per month",6 Beds,5 Baths,"2,800 Sq Ft",House for Rent,"This spacious and recently renovated 6 bedroom, 7.5 bath townhome in the Wellington area of Medford offers modern living in a prime location. The home features open living areas with hardwood floors, a gourmet kitchen with stainless steel appliances and granite countertops, and generously sized bedrooms, including a master suite with an en-suite bathroom and walk-in closet. Stylishly updated","18 3rd St, Medford, MA 02155",
"$4,200 per month",4 Beds,2.5 Baths,"1,850 Sq Ft",Condo for Rent,"Attached spacious townhouse rental which has four bedrooms and with 2 full bathrooms and one half bath. First Floor features hardwood floors, one bedroom, living room and eat in kitchen, also first floor has a half bathroom. On second level features three bedrooms and two full bathrooms. The walk up attic is finished and features two additional rooms. In basement comes with coin operated washer &","4 4th St Unit A, Medford, MA 02155",
"$3,200 per month",2 Beds,2 Baths,875 Sq Ft,Condo for Rent,"Newly renovated 2 bedroom, 2 bathroom apartment located in the heart of Medford Square. Enjoy the convenience of being within walking distance to shops, restaurants, grocery stores, and more. Each unit comes equipped with a washer and dryer, mini-split central air for efficient heating and cooling, and stunning stainless steel appliances. The modern kitchen boasts quartz countertops, and the","26 Bradlee Rd, Medford, MA 02155",
"$7,875 per month",6 Beds,2 Baths,"3,599 Sq Ft",Condo for Rent,"Features: Deck|Hardwood Floors|Dishwasher|Disposal|New/Renovated Kitchen|Stainless Steel Appliances|New/Renovated Bath|Laundry in Building|Yard14 Windsor #2. 7Bedrooms/2Bath located on Windsor Rd in Medford. Spacious living room and bedrooms. Situated on a nice level lot with front & back porches, huge unfinished basement & parking for 2 small cars. All this 1 block to the new Green Line","14 Windsor Rd Unit 1, Medford, MA 02155",
"$3,000 per month",2 Beds,2 Baths,"1,200 Sq Ft",Condo for Rent,"Bright and sunny 2 bedroom/2 bath 3rd flood condo at the highly desirable Parkway Plaza Condominiums. This 3rd floor unit offers central A/C, hardwood floors, open floor plan featuring a welcoming foyer, plenty of closets, expansive dining room/living room leading to a private balcony. The spacious master bedroom with walk-in closet and a full bath on one side, and a generous second bath and","30 Revere Beach Pkwy Unit 616, Medford, MA 02155",
"$3,850 per month",2 Beds,2 Baths,"1,150 Sq Ft",Condo for Rent,"Come discover this beautiful 2b2b apartment in the Regal Condos! This freshly renovated 1,150 sq. ft. apartment offers modern comfort and style with an open floor plan and abundant natural light. Located on the third floor of a well-managed high-rise with elevators, this spacious apartment features: Fully renovated with a modern aesthetic and comfort; Two spacious bedrooms, each with access to","235 Winthrop St Unit 3307, Medford, MA 02155",
"$8,000 per month",6 Beds,2 Baths,"2,500 Sq Ft",Townhouse for Rent,"7 BEDROOM!! 9/1/25!! Ideal for Tufts University students or graduate students. 2nd and 3rd floor 2 family. Large back porch and patio/yard. Hardwood floors throughout, stainless steel appliances and granite countertops. Large living room and sunroom. Spacious bedrooms. Free Laundry in unit. 2 tandem parking spots avail. 100/month (2 car max). Easy street parking. Convenient walking","53 Bristol Rd, Medford, MA 02155",
"$4,500 per month",4 Beds,2 Baths,"1,719 Sq Ft",Condo for Rent,"Living close to Tufts University and Green line T Station while having convenient access to the restaurants and shops on Boston Ave, this is the one. This lovely apartment offers 2 levels of living, with spacious living and dining room, 1 bedroom, large kitchen and 1 full bath on the 2nd floor. Another 3 bedrooms, 1 full bath, washer/dryer, and extra refrigerator and cabinets on the 3rd floor for","118 Summer St Unit 2, Medford, MA 02155",
"$8,000 per month",6 Beds,2 Baths,"1,875 Sq Ft",Condo for Rent,"Ideal for Tufts University students or graduate students. 2nd and 3rd floor 2 family. Large back porch and patio/yard. Hardwood floors throughout, stainless steel appliances and granite countertops. Large living room and sunroom. Spacious bedrooms. Free Laundry in unit. 2 tandem parking spots avail. 100/month (2 car max). Easy street parking. Convenient walking distance to Ball Sq, Tufts and","53 Bristol Rd Unit 2, Medford, MA 02155",
"$3,800 per month",3 Beds,2 Baths,"1,542 Sq Ft",Condo for Rent,"This beautifully updated Colonial-style home offers 3 bedrooms, 2 bathrooms, and a four-season screened sun porch with radiant floor heating. Solar panels cover electricity costs from April to October, and the mini-split HVAC system provides efficient zone control. The modern kitchen features brand-new appliances, quartz countertops, updated cabinets, a pantry, and a breakfast bar.The spacious","696 Fulton St, Medford, MA 02155",
"$2,700 per month",2 Beds,1 Bath,"1,000 Sq Ft",Condo for Rent,Unit FeaturesA/C Dishwasher Disposal Granite Counter Tops Hardwood Floors High Ceiling Intercom System Laundry in Building Microwave Modern Bath Modern Kitchen New/Renovated Bath New/Renovated Kitchen New Appliances Oven/Range Refrigerator Security System Separate Kitchen Stainless Steel Appliance(s),"157 Spring St Unit 1, Medford, MA 02155",
"$3,600 per month",3 Beds,1 Bath,"1,500 Sq Ft",Condo for Rent,"Newly renovated 2 level 3-4 bedroom/1 bathroom unit on the 2nd and 3rd floor in 2-family house in Medford. New floors, new windows, new painting.1st level: Updated kitchen with electrical stove, dishwasher and double door fridge, full bathroom, 1 large bedroom, 1 bedroom with adjacent large room for an office or 4th bedroom, additional small office room. 2nd level: 2 large bedrooms. 3 off-street","21 Hillsdale Rd Unit 2, Medford, MA 02155",
"$3,900 per month",3 Beds,1 Bath,"1,200 Sq Ft",Condo for Rent,"Spacious 3-Bedroom Apartment in Prime Medford Location This lovely 3-bedroom apartment with a bonus room in Medford is set to undergo a beautiful facelift, making it an ideal home for you. Enjoy the elegance of hardwood floors throughout, complemented by an open kitchen that flows into the inviting living and dining areas. The sunroom adds a delightful touch, perfect for a cozy reading nook or a","58 Stanley Ave Unit 2, Medford, MA 02155",
"$6,500 per month",5 Beds,2 Baths,"9,999 Sq Ft",House for Rent,"5 BED/2 BATH APARTMENT - TUFTS UNIVERSITYCall today about this beautiful Tufts University apartment. Plenty of space, natural light, and a charm all its own greet you every time you come home to this 5-bedroom apartment. Neighborhood amenities include dining, shopping, access to public transit, and more! • Hardwood Floors• Near Public Transportation• Stainless","136 Burget Ave, Medford, MA 02155",
"$4,400 per month",4 Beds,1 Bath,"1,800 Sq Ft",Condo for Rent,"Medford/Tufts 4 Bed 1 Bath Townhouse!!!  Available 6/1/25!!!***Ask me the 3D tour***Huge 1900 sf Townhouse.  Living room dining area, sun room, eat in kitchen, a big study on second level and one bedroom on second level.Three very large bedrooms and one bath on third level.In unit laundry.Hardwood floors.Natural light.One off-street parking spot","19 Princeton St Unit 2, Medford, MA 02155",
"$3,600 per month",4 Beds,1 Bath,999 Sq Ft,Condo for Rent,"Affordable and quaint 4 bedroom/1 Bath in Medford.  Hardwood floors and a large kitchen with dishwasher, range and oven.Less than a mile to Tuffs.  Bus stop right across the street.  Green Line Tuffs Station and West Medford Trail Station near by.  Street parking available.Apartments with a 6/1 move-in date don't last long.Call, text, or email with questions or for","10 Pinkham Rd Unit 2, Medford, MA 02155",
"$6,800 per month",5 Beds,5.5 Baths,999 Sq Ft,Condo for Rent,"Gorgeous Newly Renovated Unit with Gleaming Hardwood Floors.This apartment has new appliances, granite countertops and all the finishes.Close to lots of shops, restaurants and cafe's!Call or Email today to see this today.New Construction5 Bed, 5.5 BathIn unit washer/dryerExclusive use of back deck and complete back patioCentral A/CHardwoods,","62 Bradbury Ave Unit 1, Medford, MA 02155",
"$4,595 per month",5 Beds,2 Baths,"1,600 Sq Ft",Condo for Rent,,"88 Winchester St Unit 2, Medford, MA 02155",
"$6,000 per month",5 Beds,2 Baths,"1,895 Sq Ft",Condo for Rent,,"22 Harris Rd Unit 2, Medford, MA 02155",
"$3,000 per month",2 Beds,1 Bath,"1,100 Sq Ft",Condo for Rent,,"246 Harvard St Unit 2, Medford, MA 02155",
"$2,500 per month",2 Beds,1 Bath,"1,000 Sq Ft",Condo for Rent,,"15 5th St Unit 3, Medford, MA 02155",
"$2,500 per month",2 Beds,1.5 Baths,"1,000 Sq Ft",Condo for Rent,"Five room, 2 bedroom apartment, walking distance from Wellington Circle and the MBTA. Bright and sunny. Ceramic tile bathroom. New thermal energy efficient windows. Washer and dryer are included in the unit. Hardwood floors throughout. Ceiling fans in the living and dining rooms. Newer heating system with energy efficient Becket burner. An easy commute to Rte. 93 and the Wellington Orange Line","15 5th St Unit 3, Medford, MA 02155",
"$2,800 per month",2 Beds,2 Baths,700 Sq Ft,Condo for Rent,"This newly renovated 2-bedroom, 2-bathroom apartment in Medford offers modern living at its finest. Enjoy the convenience of in-unit washer/dryer and stay comfortable year-round with central air mini splits. The kitchen features sleek quartz countertops and stainless steel appliances, perfect for home chefs. Both bathrooms are tastefully tiled, and the spacious living area is bathed in natural","26 Bradlee Rd, Medford, MA 02155",
"$4,600 per month",4 Beds,1 Bath,"1,300 Sq Ft",Condo for Rent,"4 Bedrooms, 2 Bathrooms on Buttonwood St.- Convenient to South Bay Plaza, South Boston, UMass, Star Market, JFK/Umass T stop on the Red line, 93, Carson Beach, bars, restaurants, and more!- Beautifully renovated kitchen with white granite countertops and stainless steel appliances- Hardwood flooring throughout- Laundry in unit- Outdoor space- Video security camera","82 Quincy St Unit 2, Medford, MA 02155",
"$4,200 per month",3 Beds,1 Bath,950 Sq Ft,Condo for Rent,"4 Bedrooms, 2 Bathrooms on Buttonwood St.- Convenient to South Bay Plaza, South Boston, UMass, Star Market, JFK/Umass T stop on the Red line, 93, Carson Beach, bars, restaurants, and more!- Beautifully renovated kitchen with white granite countertops and stainless steel appliances- Hardwood flooring throughout- Laundry in unit- Outdoor space- Video security camera","119 Burget Ave Unit 2, Medford, MA 02155",
"$5,300 per month",4 Beds,4.5 Baths,"9,999 Sq Ft",Condo for Rent,"Contact EDGE for more information on this listing, and hundreds of our other listings! See why more people are choosing the highest and most-reviewed real estate firm in Massachusetts. One-month brokerage fee applies. EDGE Realty Advisors is not liable for any errors, omissions, or changes to terms and conditions of this rental.","480 Fulton St Unit 1, Medford, MA 02155",
"$6,975 per month",6 Beds,5.5 Baths,"9,999 Sq Ft",Condo for Rent,"Available for June 1st, Parking available, Tons of space!","5 Malvern Terrace Unit 1, Medford, MA 02155",
"$4,600 per month",4 Beds,1.5 Baths,"1,300 Sq Ft",Condo for Rent,"4-bed, 1-bath apartment located near Tufts University.","82 Quincy St Unit 2, Medford, MA 02155",
"$6,500 per month",5 Beds,2 Baths,"1,800 Sq Ft",Condo for Rent,"4 Bedrooms, 2 Bathrooms on Buttonwood St.- Convenient to South Bay Plaza, South Boston, UMass, Star Market, JFK/Umass T stop on the Red line, 93, Carson Beach, bars, restaurants, and more!- Beautifully renovated kitchen with white granite countertops and stainless steel appliances- Hardwood flooring throughout- Laundry in unit- Outdoor space- Video security camera","136 Burget Ave Unit 2, Medford, MA 02155",
"$3,700 per month",2 Beds,2 Baths,"1,270 Sq Ft",Condo for Rent,"Freshly painted unit, with beautiful view of Mystic river. The apartment is partially furnished with dining set. 1 parking (garage)space available.","100 Station Landing Unit Skyline unit 902, Medford, MA 02155",
"$2,700 per month",2 Beds,1 Bath,"9,999 Sq Ft",Condo for Rent,"LAGRE 2 BED FOR RENT IN MEDFORD!AVAILABLE FOR DEC/JAN MOVE INFeatures:~laundry in unit ~2 large bedrooms ~eat in kitchen ~dishwasher ~tall ceilings ~hardwood flooring CALL NOW TO SCHEDULE A SHOWING - DONT WAIT! ______________________________________Advertising agent is not liable for any errors, change in priceand omissions without notice.","17 Dwyer Cir Unit 2, Medford, MA 02155",
"$3,600 per month",3 Beds,1 Bath,"9,999 Sq Ft",Condo for Rent,"GREAT VALUE 3 BED FRO RENT IN MEDFORD!AVAILABLE FOR NOV MOVE IN! Features:~hardwood flooring ~free laundry in building ~gas range ~eat in kitchen ~large living room ~spacious bedrooms ~parking for rent CALL NOW TO SCHEDULE A SHOWING - DONT WAIT! ______________________________________Advertising agent is not liable for any errors, change in","20 Burget Ave Unit 2, Medford, MA 02155",
"$4,400 per month",4 Beds,1 Bath,"9,999 Sq Ft",Condo for Rent,"LARGE 4 BED FOR RENT IN MEDFORD!AVAILABLE FOR JUNE 1ST 2025! Features:~hardwood flooring ~great natural lighting ~dining area ~private laundry in building ~tall ceilings ~large bedrooms CALL NOW TO SCHEDULE A SHOWING - DONT WAIT! ______________________________________Advertising agent is not liable for any errors, change in priceand","27 Princeton St, Medford, MA 02155",
"$4,400 per month",4 Beds,1 Bath,"1,800 Sq Ft",Condo for Rent,"4-bed and 1-bath in Medford. Available for September 1st, 2025.","27 Princeton St Unit 2, Medford, MA 02155",
"$4,600 per month",4 Beds,1 Bath,"9,999 Sq Ft",Condo for Rent,"GREAT VALUE 4 BED FOR RENT IN MEDFORD!AVAILABLE FOR 6.1.25! Features:~hardwood flooring~gas range ~tall ceilings ~excellent natural lighting ~large bedrooms CALL NOW TO SCHEDULE A SHOWING - DONT WAIT! ______________________________________Advertising agent is not liable for any errors, change in priceand omissions without notice. Information","82 Quincy St Unit 2, Medford, MA 02155",
"$2,795 per month",2 Beds,2 Baths,750 Sq Ft,Condo for Rent,2-bed and 2-bath in Medford. Unit features: -Deck -Dishwasher -Duplex -Eat-in Kitchen -Granite Counter Tops -Hardwood Floors -Laundry in Unit -Modern Bath -Modern Kitchen -New/Renovated Bath -New/Renovated Kitchen -New Stainless Steel Appliances -Storage Yard,"96-1 Bristol Rd Unit 1, Medford, MA 02155",
"$4,200 per month",3 Beds,1 Bath,"9,999 Sq Ft",Condo for Rent,"LARGE 3 BED FOR RENT IN MEDFORD!AVIALABLE 6.1.25! Features:~-hardwood flooring ~parking incl in rent ~dishwasher and disposal ~great natural lighting ~tall ceilings ~large bedrooms CALL NOW TO SCHEDULE A SHOWING - DONT WAIT! ______________________________________Advertising agent is not liable for any errors, change in priceand omissions","119 Burget Ave Unit 2, Medford, MA 02155",
